id,type,name,creator,starring,year,rating,time,genres,country,describle
81340870,tv show,love island usa,guillermo del toro,"arielle vandenberg, matthew hoffman",2018,tv-14,4 seasons,"competition reality tv ,reality tv",united states,"the hit british dating show lands in america with a new group of singles who pair up, break up and do more for a chance to win cash — and love."
81340808,tv show,love island australia,guillermo del toro,"sophie monk, eoghan mcdermott",2018,tv-ma,4 seasons,"competition reality tv ,reality tv",australia,"a group of single aussie contestants faces romance, rejection and more as they couple up for a shot at finding a soulmate and winning a cash prize."
81292203,tv show,the ultimatum: marry or move on,guillermo del toro,"nick lachey, vanessa lachey",2022,tv-ma,2 seasons,reality tv,united states,get hitched or call it quits? couples put their love to the test — while shacking up with other potential matches — in a provocative reality series.
81651694,tv show,the-cook-a-long,wesley masilo makgamatha,"patrick seleka, jr.",2022,tv-y,1 season,"food & travel tv ,reality tv ,travel & adventure documentaries ,docuseries ,lifestyle",south africa,join host patrick seleka jr. as he ventures across south africa eating — and replicating — dishes prepared by celeb chefs using farm-fresh ingredients.
80188953,tv show,afflicted,dan partland,dan partland,2018,tv-14,1 season,"science & nature tv ,reality tv ,docuseries ,lifestyle",united states,baffling symptoms. controversial diagnoses. costly treatments. seven people with chronic illnesses search for answers -- and relief.
81265493,tv show,love on the spectrum: australia,guillermo del toro,brooke satchwell,2019,tv-14,2 seasons,"wedding & romance reality tv ,reality tv ,docuseries",australia,"finding love can be hard for anyone. for young adults on the autism spectrum, exploring the unpredictable world of dating holds its own unique challenges."
81310218,tv show,"young, famous & african",guillermo del toro,"khanyi mbau, diamond platnumz, naked dj",2022,tv-14,2 seasons,reality tv,south africa,"this reality series follows a crew of famed, affluent stars as they work and play, flirt and feud in johannesburg, south africa."
81417684,tv show,the parisian agency: exclusive properties,guillermo del toro,"olivier kretz, sandrine kretz, valentin kretz",2021,tv-14,2 seasons,"reality tv ,home & garden reality tv ,lifestyle",france,this reality series follows the kretz family and their luxury property business as they help clients buy and sell fabulous homes in france and abroad.
80067942,tv show,terrace house: boys & girls in the city,guillermo del toro,"you, reina triendl, ryota yamasato",2015,tv-pg,2 seasons,"wedding & romance reality tv ,reality tv",japan,"a new set of six men and women start their lives together under one roof. all they get is a fabulous home and a car. as always, there is no script."
80212301,tv show,terrace house: opening new doors,guillermo del toro,"you, reina triendl, yoshimi tokui",2017,tv-14,6 seasons,"wedding & romance reality tv ,reality tv",japan,"a group of young people -- including a chef, a snowboarder and an ice hockey player -- gather in the karuizawa woods while pursuing their dreams."
81620610,tv show,supermodel me: revolution,guillermo del toro,"cindy sirinya bishop, hanli hoefer",2022,tv-14,1 season,"competition reality tv ,reality tv",singapore,twelve up-and-coming models from across asia strut their stuff for a tough new judging panel in this fierce competition to win career-making prizes.
81411891,tv show,love is blind: japan,guillermo del toro,"takashi fujii, yuka itaya",2022,tv-pg,1 season,"competition reality tv ,wedding & romance reality tv ,reality tv",japan,"in this reality dating series, marriage-minded singles in japan meet, date and get engaged — before ever setting eyes on each other."
81521365,tv show,love village,guillermo del toro,"atsushi tamura, becky",2023,tv-pg,1 season,"wedding & romance reality tv ,reality tv",japan,"singles 35 and over of various backgrounds relocate to a house in the countryside for another chance at love. will they find ""the one"" — or leave alone?"
81443237,tv show,iron chef: mexico,guillermo del toro,"paty cantú, poncho cadena, salvador lam chang",2022,tv-pg,1 season,"family watch together tv ,food & travel tv ,competition reality tv ,reality tv",mexico,seasoned pros participate in this cooking competition against three of mexico's finest chefs to win the mythical katana and become the legendary chef.
81507860,tv show,the apprentice: one championship edition,guillermo del toro,"chatri sityodtong, dom lau",2021,tv-pg,1 season,"competition reality tv ,reality tv",singapore,"candidates from around the world vie for a $250,000 job offer with the one championship sports media empire. to win, they'll need brains and brawn."
80131479,tv show,terrace house: aloha state,guillermo del toro,"you, reina triendl, ryota yamasato",2016,tv-pg,4 seasons,"wedding & romance reality tv ,reality tv",japan,"the beautiful island of oahu is host to a new batch of six strangers who share a single roof, multiple conflicts and no script in this reality series."
81061828,tv show,nailed it! france,guillermo del toro,"artus, noémie honiat",2019,tv-y7,1 season,"family watch together tv ,food & travel tv ,competition reality tv ,reality tv",france,"on this fun and funny competition show, home bakers talented in catastrophe struggle to re-create dessert masterpieces and win a 5,000 euro prize."
80245262,tv show,singapore social,guillermo del toro,"nicole ong, mae tan, sukki singapora",2019,tv-ma,1 season,"wedding & romance reality tv ,reality tv ,lifestyle",singapore,"peer into the lives of young singaporeans as they defy expectations and traverse the tricky terrain of career, romance and family."
81470327,tv show,battlebots,"greg munson, edward p. roski (trey)","molly mcgrath, chris rose, kenny florian",2015,tv-y7,1 season,"family watch together tv ,competition reality tv ,science & nature tv ,reality tv",united states,inventors of larger-than-life robots go head-to-head inside a perilous bulletproof arena with one goal: disable or destroy their opponent’s machine.
81459349,tv show,"sex, love & goop",guillermo del toro,gwyneth paltrow,2021,tv-ma,1 season,"reality tv ,lifestyle",united states,courageous couples journey toward more pleasurable sex and deeper intimacy with help from gwyneth paltrow and a team of experts in this reality series.
80160037,tv show,queer eye,david collins,"bobby berk, karamo brown, tan france",2018,tv-14,7 seasons,"makeover reality tv ,reality tv ,lifestyle",united states,"grab some tissues! an all-new ""fab five"" serve up hip tips, emotionally charged makeovers and heartfelt reveals that bring out all the feels."
